,Ticker,Company,Expected Return,Reliability (RMSE)
17,AES,AES Corp,0.0803015590981524,0.8551480413980006
30,ALXN,Alexion Pharmaceuticals,0.06145156867191008,1.194872420076379
41,ANSS,ANSYS,0.050913114205479684,1.1704495230768017
47,APH,Amphenol Corp,0.04260014479798007,8.278269377599951
16,AEP,American Electric Power,0.03302331105023489,1.239072569276842
8,ACN,Accenture plc,0.03008563160324238,0.7342213367612951
38,AMT,American Tower Corp.,0.029140240056214416,4.172902662205542
20,AIG,American International Group,0.026054631883852986,0.5128149339197254
25,ALB,Albemarle Corp,0.015463715058472119,2.5159499430368997
39,AMZN,Amazon.com Inc.,0.01541977635480779,0.7088740060056629
